Date,new_cases
30-01-2020,0
31-01-2020,0
01-02-2020,0.33333
02-02-2020,0.5
03-02-2020,0.6
04-02-2020,0.5
05-02-2020,0.42857
06-02-2020,0.28571
07-02-2020,0.28571
08-02-2020,0.28571
09-02-2020,0.14286
10-02-2020,0
11-02-2020,0
12-02-2020,0
13-02-2020,0
14-02-2020,0
15-02-2020,0
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,0
26-02-2020,0
27-02-2020,0
28-02-2020,0
29-02-2020,0
01-03-2020,0
02-03-2020,0.28571
03-03-2020,0.28571
04-03-2020,3.57143
05-03-2020,3.85714
06-03-2020,4
07-03-2020,4.42857
08-03-2020,5.14286
09-03-2020,5.42857
10-03-2020,7.28571
11-03-2020,4.85714
12-03-2020,6.14286
13-03-2020,7.28571
14-03-2020,9.71429
15-03-2020,10.57143
16-03-2020,10.85714
17-03-2020,12.28571
18-03-2020,13.42857
19-03-2020,17.28571
20-03-2020,23.14286
21-03-2020,32.57143
22-03-2020,40.42857
23-03-2020,54.28571
24-03-2020,56.28571
25-03-2020,71.57143
26-03-2020,76.14286
27-03-2020,91.85714
28-03-2020,93.85714
29-03-2020,89.71429
30-03-2020,107.42857
31-03-2020,123
01-04-2020,191.57143
02-04-2020,259.42857
03-04-2020,240
04-04-2020,299.28571
05-04-2020,366.28571
06-04-2020,503.85714
07-04-2020,559.14286
08-04-2020,559.71429
09-04-2020,597.42857
10-04-2020,718.71429
11-04-2020,766.28571
12-04-2020,802.42857
13-04-2020,810.71429
14-04-2020,882.28571
15-04-2020,915.14286
16-04-2020,957.85714
17-04-2020,964.85714
18-04-2020,1039.42857
19-04-2020,1201.42857
20-04-2020,1155.14286
21-04-2020,1227.57143
22-04-2020,1292.57143
23-04-2020,1378.14286
24-04-2020,1454
25-04-2020,1508.71429
26-04-2020,1467.85714
27-04-2020,1558.85714
28-04-2020,1606.28571
29-04-2020,1670.28571
30-04-2020,1683.71429
01-05-2020,1818.14286
02-05-2020,1916.57143
03-05-2020,2087.85714
04-05-2020,2426.57143
05-05-2020,2582.28571
06-05-2020,2846.42857
07-05-2020,3069.71429
08-05-2020,3205.42857
09-05-2020,3301.28571
10-05-2020,3522.28571
11-05-2020,3475.85714
12-05-2020,3556
13-05-2020,3581.14286
14-05-2020,3663.71429
15-05-2020,3727
16-05-2020,3977.14286
17-05-2020,4076.71429
18-05-2020,4222.85714
19-05-2020,4597.57143
20-05-2020,4853.28571
21-05-2020,5175.57143
22-05-2020,5572.85714
23-05-2020,5825
24-05-2020,6119.71429
25-05-2020,6374.57143
26-05-2020,6331.14286
27-05-2020,6579.71429
28-05-2020,6737.14286
29-05-2020,6956.71429
30-05-2020,7200.57143
31-05-2020,7439
01-06-2020,7631.42857
02-06-2020,8056.85714
03-06-2020,8391.14286
04-06-2020,8761
05-06-2020,8956.14286
06-06-2020,9256.42857
07-06-2020,9553.85714
08-06-2020,9651.14286
09-06-2020,9850.71429
10-06-2020,9968.71429
11-06-2020,10117.42857
12-06-2020,10401.28571
13-06-2020,10614.28571
14-06-2020,10705.42857
15-06-2020,11023.28571
16-06-2020,11131.28571
17-06-2020,11477.28571
18-06-2020,11856.71429
19-06-2020,12293.57143
20-06-2020,12789.85714
21-06-2020,13265.42857
22-06-2020,13874.85714
23-06-2020,14588.28571
24-06-2020,15165.57143
25-06-2020,15695.57143
26-06-2020,16272.14286
27-06-2020,16915.42857
28-06-2020,17576.57143
29-06-2020,18089.28571
30-06-2020,18471.14286
01-07-2020,18790.85714
02-07-2020,19306.14286
03-07-2020,19908.85714
04-07-2020,20615.14286
05-07-2020,21299.28571
06-07-2020,21832
07-07-2020,22419.42857
08-07-2020,23236.42857
09-07-2020,24036.85714
10-07-2020,24657.28571
11-07-2020,25193.85714
12-07-2020,25834.42857
13-07-2020,26726.85714
14-07-2020,27680.57143
15-07-2020,28794.42857
16-07-2020,30004.28571
17-07-2020,31166.85714
18-07-2020,32608.42857
19-07-2020,34278.85714
20-07-2020,35512.28571
21-07-2020,36699.57143
22-07-2020,38563
23-07-2020,40610.85714
24-07-2020,42562.85714
25-07-2020,43979.14286
26-07-2020,45344.28571
27-07-2020,46390.71429
28-07-2020,48370.14286
29-07-2020,49023.57143
30-07-2020,49519.71429
31-07-2020,51280.57143
01-08-2020,52155.42857
02-08-2020,52582.71429
03-08-2020,53667.42857
04-08-2020,53797.85714
05-08-2020,54653.28571
06-08-2020,56046.85714
07-08-2020,56089
08-08-2020,57469.57143
09-08-2020,58768.42857
10-08-2020,58990
11-08-2020,60197.71429
12-08-2020,61728.71429
13-08-2020,62016.57143
14-08-2020,62473
15-08-2020,62420.28571
16-08-2020,61798.42857
17-08-2020,62000.85714
18-08-2020,62516.42857
19-08-2020,62898.28571
20-08-2020,63519.28571
21-08-2020,64254.14286
22-08-2020,64998.28571
23-08-2020,65526.42857
24-08-2020,66377.42857
25-08-2020,65327.71429
26-08-2020,67615.57143
27-08-2020,68810.71429
28-08-2020,69753
29-08-2020,71113.28571
30-08-2020,73556.71429
31-08-2020,74834.71429
01-09-2020,77853.71429
02-09-2020,77596
03-09-2020,78463.85714
04-09-2020,79886.71429
05-09-2020,81582.57143
06-09-2020,83338.28571
07-09-2020,84179.42857
08-09-2020,85800.71429
09-09-2020,87493.85714
10-09-2020,89381
11-09-2020,90972.14286
12-09-2020,91506.42857
13-09-2020,91687.71429
14-09-2020,92830.57143
15-09-2020,92890.14286
16-09-2020,93198.57143
17-09-2020,93180.42857
18-09-2020,92575.71429
19-09-2020,92323.28571
20-09-2020,91593.28571
21-09-2020,90346.71429
22-09-2020,89378.71429
23-09-2020,87752.14286
24-09-2020,86270.42857
25-09-2020,85131.14286
26-09-2020,84559
27-09-2020,83874.57143
28-09-2020,83232.57143
29-09-2020,82821.85714
30-09-2020,82866.57143
01-10-2020,82214
02-10-2020,81373.14286
03-10-2020,79548.71429
04-10-2020,78444.71429
05-10-2020,77113
06-10-2020,75909.71429
07-10-2020,74724.42857
08-10-2020,73154.71429
09-10-2020,72268.42857
10-10-2020,72061.85714
11-10-2020,70960.42857
12-10-2020,70114
13-10-2020,68894
14-10-2020,67348.85714
15-10-2020,66331
16-10-2020,64751
17-10-2020,62963.57143
18-10-2020,61390.71429
19-10-2020,60169
20-10-2020,58816.85714
21-10-2020,57121.28571
22-10-2020,55834.85714
23-10-2020,54571.71429
24-10-2020,52894.28571
25-10-2020,51383.71429
26-10-2020,49909.42857
27-10-2020,48459.28571
28-10-2020,47608.14286
29-10-2020,46791.28571
30-10-2020,46062.42857
31-10-2020,45610.14286
01-11-2020,45622
02-11-2020,45884.85714
03-11-2020,46222
04-11-2020,46269
05-11-2020,46124.71429
06-11-2020,46423
07-11-2020,46238.85714
08-11-2020,46334.85714
09-11-2020,46301
10-11-2020,46019.28571
11-11-2020,45690
12-11-2020,45295.85714
13-11-2020,44485.57143
14-11-2020,43832.14286
15-11-2020,41638.57143
16-11-2020,40365.71429
17-11-2020,39556.57143
18-11-2020,39223.85714
19-11-2020,39367.14286
20-11-2020,39588.28571
21-11-2020,40175.28571
22-11-2020,42105.42857
23-11-2020,43364.28571
24-11-2020,44187
25-11-2020,44031.71429
26-11-2020,43631.71429
27-11-2020,42930.28571
28-11-2020,42444.71429
29-11-2020,41689.42857
30-11-2020,40709.85714
01-12-2020,39599.57143
02-12-2020,38322.71429
03-12-2020,37396
04-12-2020,36728.85714
05-12-2020,35900.42857
06-12-2020,35073.14286
07-12-2020,34423
08-12-2020,33776.71429
09-12-2020,33201
10-12-2020,32169.28571
11-12-2020,31223.42857
12-12-2020,30401
13-12-2020,29556.71429
14-12-2020,28913.57143
15-12-2020,28099.57143
16-12-2020,27026.57143
17-12-2020,26100.42857
18-12-2020,25403.42857
19-12-2020,24884.85714
20-12-2020,24494.28571
21-12-2020,24135.85714
22-12-2020,23788.42857
23-12-2020,23888.71429
24-12-2020,23914
25-12-2020,23502.71429
26-12-2020,22375.28571
27-12-2020,21758.71429
28-12-2020,21312.42857
29-12-2020,20826.57143
30-12-2020,20413.71429
31-12-2020,19980.57143
01-01-2021,22386.42857
02-01-2021,19445
03-01-2021,18942.57143
04-01-2021,18934.42857
05-01-2021,18582.85714
06-01-2021,18372
07-01-2021,18101.14286
08-01-2021,12513.42857
09-01-2021,18045.57143
10-01-2021,18018
11-01-2021,17476.42857
12-01-2021,17173.57143
13-01-2021,16687.85714
14-01-2021,16323.71429
15-01-2021,18489.14286
16-01-2021,15385.85714
17-01-2021,15025.42857
18-01-2021,14663.42857
19-01-2021,14356
20-01-2021,14112.85714
21-01-2021,13963.57143
22-01-2021,13834.71429
23-01-2021,13792.57143
24-01-2021,13709
25-01-2021,13573.57143
26-01-2021,13412.57143
27-01-2021,12901.42857
28-01-2021,13517.14286
29-01-2021,13349.42857
30-01-2021,13091.57143
31-01-2021,12839.14286
01-02-2021,12772.42857
02-02-2021,12536.71429
03-02-2021,12712.85714
04-02-2021,11791.85714
05-02-2021,11596.28571
06-02-2021,11455.57143
07-02-2021,11512
08-02-2021,11579.85714
09-02-2021,11583.85714
10-02-2021,11587.28571
11-02-2021,11144.57143
12-02-2021,11206
13-02-2021,11225.28571
14-02-2021,11199.28571
15-02-2021,11200.85714
16-02-2021,11278.42857
17-02-2021,11272.42857
18-02-2021,11827.28571
19-02-2021,12091.57143
20-02-2021,12387.28571
21-02-2021,12751.57143
22-02-2021,12960.57143
23-02-2021,13265.14286
24-02-2021,13816.14286
25-02-2021,14299.57143
26-02-2021,14656
27-02-2021,15011.42857
28-02-2021,15198.71429
01-03-2021,15441.85714
02-03-2021,15620
03-03-2021,15715.57143
04-03-2021,15752.85714
05-03-2021,16009.42857
06-03-2021,16295.42857
07-03-2021,16736.71429
08-03-2021,17179.85714
09-03-2021,17598.71429
10-03-2021,18376.85714
11-03-2021,19297.85714
12-03-2021,20240.42857
13-03-2021,21178.42857
14-03-2021,22277.28571
15-03-2021,23577.85714
16-03-2021,25146.71429
17-03-2021,27006.28571
18-03-2021,29355
19-03-2021,31650.85714
20-03-2021,34297.42857
21-03-2021,37248.85714
22-03-2021,39566.42857
23-03-2021,42189.14286
24-03-2021,44704.14286
25-03-2021,47474.42857
26-03-2021,50518
27-03-2021,53213.42857
28-03-2021,56223.28571
29-03-2021,58437
30-03-2021,59325.28571
31-03-2021,62018.71429
01-04-2021,65211.28571
02-04-2021,69050
03-04-2021,73412.14286
04-04-2021,78489
05-04-2021,84313.42857
06-04-2021,93207.14286
07-04-2021,100987
08-04-2021,108201.5714
09-04-2021,116238
10-04-2021,124756.5714
11-04-2021,134092.8571
12-04-2021,143343.4286
13-04-2021,153148.5714
14-04-2021,163712.8571
15-04-2021,175910.7143
16-04-2021,188669
17-04-2021,204171.1429
18-04-2021,219155.4286
19-04-2021,233074.1429
20-04-2021,248900.7143
21-04-2021,265172.8571
22-04-2021,281682.5714
23-04-2021,297696
24-04-2021,310309.8571
25-04-2021,321622.5714
26-04-2021,330744.8571
27-04-2021,340140.4286
28-04-2021,349378.1429
29-04-2021,357040.1429
30-04-2021,364926.8571
01-05-2021,371040.7143
02-05-2021,373193.4286
03-05-2021,378092.4286
04-05-2021,381123.7143
05-05-2021,385855.5714
06-05-2021,389803.1429
07-05-2021,389672.4286
08-05-2021,391232
09-05-2021,391008.2857
10-05-2021,387097.7143
11-05-2021,382279.8571
12-05-2021,375179.2857
13-05-2021,365030.1429
14-05-2021,354318.7143
15-05-2021,341142.2857
16-05-2021,328984
17-05-2021,319497
18-05-2021,307913.1429
19-05-2021,295539.2857
20-05-2021,283597.4286
21-05-2021,273769
22-05-2021,263722.1429
23-05-2021,255283.4286
24-05-2021,245696.8571
25-05-2021,237352.1429
26-05-2021,228093.2857
27-05-2021,217638
28-05-2021,205708.1429
29-05-2021,194952.5714
30-05-2021,185012.4286
31-05-2021,175167.1429
01-06-2021,164291
02-06-2021,153270.4286
03-06-2021,145556.1429
04-06-2021,137947.4286
05-06-2021,130648.4286
06-06-2021,123205.8571
07-06-2021,117347
08-06-2021,111605.2857
09-06-2021,105792.2857
10-06-2021,100067.5714
11-06-2021,94896.57143
12-06-2021,90092.85714
13-06-2021,85776.42857
14-06-2021,82058.28571
15-06-2021,77719.42857
16-06-2021,73968.71429
17-06-2021,69710
18-06-2021,66341.57143
19-06-2021,63111.85714
20-06-2021,60687.28571
21-06-2021,58140
22-06-2021,56514.85714
23-06-2021,54637.85714
24-06-2021,53093.14286
25-06-2021,51371
26-06-2021,50201.57143
27-06-2021,49158.57143
28-06-2021,48433.71429
29-06-2021,47734.14286
30-06-2021,46979.42857
01-07-2021,46258
02-07-2021,45602.71429
03-07-2021,44607.14286
04-07-2021,43699.71429
05-07-2021,43290.71429
06-07-2021,42973.85714
07-07-2021,42560.42857
08-07-2021,42099.85714
09-07-2021,41907.71429
10-07-2021,41684.14286
11-07-2021,41306.71429
12-07-2021,41050
13-07-2021,40354.57143
14-07-2021,39760.42857
15-07-2021,39125.57143
16-07-2021,38456
17-07-2021,38406.14286
18-07-2021,38550.42857
19-07-2021,38148.57143
20-07-2021,38598.57143
21-07-2021,38548.57143
22-07-2021,38033.28571
23-07-2021,32593.42857
24-07-2021,37976.57143
25-07-2021,38147.57143
26-07-2021,38089.85714
27-07-2021,38324
28-07-2021,38627.71429
29-07-2021,39897.42857
30-07-2021,45847.28571
31-07-2021,40560.42857
01-08-2021,40670.85714
02-08-2021,40793.71429
03-08-2021,40646.71429
04-08-2021,40571.42857
05-08-2021,40630.42857
06-08-2021,40198.85714
07-08-2021,39804.42857
08-08-2021,39142.28571
09-08-2021,38807.28571
10-08-2021,38197
11-08-2021,37941.71429
12-08-2021,37295.57143
13-08-2021,37301.14286
14-08-2021,36874.42857
15-08-2021,36508.42857
16-08-2021,36074.42857
17-08-2021,35620.85714
18-08-2021,34936
19-08-2021,34429
20-08-2021,33827.57143
21-08-2021,33094
22-08-2021,31970.42857
23-08-2021,32013.42857
24-08-2021,32358.42857
25-08-2021,33753.14286
26-08-2021,34908.42857
27-08-2021,36665.85714
28-08-2021,38685.14286
29-08-2021,41233.28571
30-08-2021,42015.28571
31-08-2021,42639.85714
01-09-2021,42772.42857
02-09-2021,42871.57143
03-09-2021,42280
04-09-2021,41949
05-09-2021,41383.14286
06-09-2021,41423.28571
07-09-2021,40839
08-09-2021,40292
09-09-2021,38809.28571
10-09-2021,37489
11-09-2021,35464
12-09-2021,33793.42857
13-09-2021,32962.28571
14-09-2021,31433.85714
15-09-2021,29620.57143
16-09-2021,29539.14286
17-09-2021,29865.71429
18-09-2021,30177.42857
19-09-2021,30606.28571
20-09-2021,30707.85714
21-09-2021,30677.57143
22-09-2021,30870.85714
23-09-2021,30439.28571
24-09-2021,29575.57143
25-09-2021,29226
26-09-2021,28623.85714
27-09-2021,27578.14286
28-09-2021,26421.85714
29-09-2021,25222.71429
30-09-2021,24557.71429
01-10-2021,23806
02-10-2021,23022.57143
